business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
79345,Bayshore Taqueria,300 Bayshore Blvd #A,San Francisco,CA,94124,,,,,79345_20190801,8/1/2019 0:00,89,Routine - Unscheduled,79345_20190801_103114,High risk vermin infestation,High Risk
3982,SLIM'S,333 11th St,San Francisco,CA,94103,37.771501,-122.413439,"(37.771501, -122.413439)",14155250333,3982_20190801,8/1/2019 0:00,86,Routine - Unscheduled,3982_20190801_103154,Unclean or degraded floors walls or ceilings,Low Risk
16751,Nihon,1779 Folsom St,San Francisco,CA,94103,37.768654,-122.415586,"(37.768654, -122.415586)",,16751_20190801,8/1/2019 0:00,84,Routine - Unscheduled,16751_20190801_103154,Unclean or degraded floors walls or ceilings,Low Risk
84698,Fayala,215 Fremont St Suite 2B,San Francisco,CA,94105,,,,,84698_20180801,8/1/2018 0:00,78,Routine - Unscheduled,84698_20180801_103114,High risk vermin infestation,High Risk
89710,Manila Bowl,1355 Market St Unit #10,San Francisco,CA,94103,,,,,89710_20190801,8/1/2019 0:00,89,Routine - Unscheduled,89710_20190801_103103,High risk food holding temperature,High Risk
74468,Francisca's,3047 Mission St,San Francisco,CA,94110,,,,14155371185,74468_20180801,8/1/2018 0:00,,Complaint,74468_20180801_103157,Food safety certificate or food handler card not available,Low Risk
16751,Nihon,1779 Folsom St,San Francisco,CA,94103,37.768654,-122.415586,"(37.768654, -122.415586)",,16751_20190801,8/1/2019 0:00,84,Routine - Unscheduled,16751_20190801_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
65014,The Old Clam House,299 BAYSHORE Blvd,San Francisco,CA,94124,37.743212,-122.405055,"(37.743212, -122.405055)",,65014_20190801,8/1/2019 0:00,83,Routine - Unscheduled,65014_20190801_103154,Unclean or degraded floors walls or ceilings,Low Risk
75701,Alley House,3751 Geary Blvd,San Francisco,CA,94118,,,,14155227427,75701_20180801,8/1/2018 0:00,75,Routine - Unscheduled,75701_20180801_103162,Other low risk violation,Low Risk
65014,The Old Clam House,299 BAYSHORE Blvd,San Francisco,CA,94124,37.743212,-122.405055,"(37.743212, -122.405055)",,65014_20190801,8/1/2019 0:00,83,Routine - Unscheduled,65014_20190801_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
84698,Fayala,215 Fremont St Suite 2B,San Francisco,CA,94105,,,,,84698_20180801,8/1/2018 0:00,78,Routine - Unscheduled,84698_20180801_103138,Improper storage use or identification of toxic substances,Low Risk
69737,StrEat Cervezas,428 11th St,San Francisco,CA,94103,,,,14155890933,69737_20180801,8/1/2018 0:00,87,Routine - Unscheduled,69737_20180801_103170,Mobile food facility not operating with an approved commissary,High Risk
69737,StrEat Cervezas,428 11th St,San Francisco,CA,94103,,,,14155890933,69737_20180801,8/1/2018 0:00,87,Routine - Unscheduled,69737_20180801_103157,Food safety certificate or food handler card not available,Low Risk
69737,StrEat Cervezas,428 11th St,San Francisco,CA,94103,,,,14155890933,69737_20180801,8/1/2018 0:00,87,Routine - Unscheduled,69737_20180801_103156,Permit license or inspection report not posted,Low Risk
97684,SAN FRANCISCO FARMERS MARKET,4929 Mission St,San Francisco,CA,94112,,,,14155330428,97684_20190801,8/1/2019 0:00,94,Routine - Unscheduled,97684_20190801_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
39824,RN74,301 Mission St,San Francisco,CA,94105,37.790958,-122.396042,"(37.790958, -122.396042)",,39824_20190801,8/1/2019 0:00,86,Routine - Unscheduled,39824_20190801_103150,Improper or defective plumbing,Low Risk
75701,Alley House,3751 Geary Blvd,San Francisco,CA,94118,,,,14155227427,75701_20180801,8/1/2018 0:00,75,Routine - Unscheduled,75701_20180801_103144,Unapproved or unmaintained equipment or utensils,Low Risk
65014,The Old Clam House,299 BAYSHORE Blvd,San Francisco,CA,94124,37.743212,-122.405055,"(37.743212, -122.405055)",,65014_20190801,8/1/2019 0:00,83,Routine - Unscheduled,65014_20190801_103144,Unapproved or unmaintained equipment or utensils,Low Risk
84698,Fayala,215 Fremont St Suite 2B,San Francisco,CA,94105,,,,,84698_20180801,8/1/2018 0:00,78,Routine - Unscheduled,84698_20180801_103103,High risk food holding temperature,High Risk
4184,GLENEAGLES GOLF COURSE AT M P,2100 SUNNYDALE Ave,San Francisco,CA,94134,37.714351,-122.424419,"(37.714351, -122.424419)",,4184_20190801,8/1/2019 0:00,94,Routine - Unscheduled,4184_20190801_103143,Inadequate warewashing facilities or equipment,Low Risk
65014,The Old Clam House,299 BAYSHORE Blvd,San Francisco,CA,94124,37.743212,-122.405055,"(37.743212, -122.405055)",,65014_20190801,8/1/2019 0:00,83,Routine - Unscheduled,65014_20190801_103105,Improper cooling methods,High Risk
