business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation,risk_category
71065,"Chutney USA, Inc.",511 Jones St,San Francisco,CA,94102,37.786044,-122.413054,"(37.786044, -122.413054)",,71065_20161221,12/21/16 0:00,,Complaint,71065_20161221_103159,Worker safety hazards,Low Risk
34728,Pete's Tavern,128 KING STREET,San Francisco,CA,94107,37.779343,-122.390519,"(37.779343, -122.390519)",,34728_20161213,12/13/16 0:00,90,Routine - Unscheduled,34728_20161213_103159,Worker safety hazards,Low Risk
19417,Starbucks,5 03rd St,San Francisco,CA,94103,37.787569,-122.403349,"(37.787569, -122.403349)",,19417_20171128,11/28/17 0:00,96,Routine - Unscheduled,19417_20171128_103159,Worker safety hazards,Low Risk
71456,Sam's Cable Car Lounge,222 Powell St,San Francisco,CA,94102,37.786672,-122.408005,"(37.786672, -122.408005)",,71456_20161205,12/5/16 0:00,96,Routine - Unscheduled,71456_20161205_103159,Worker safety hazards,Low Risk
1598,Cafe Bean,800 Sutter St,San Francisco,CA,94109,37.788587,-122.413795,"(37.788587, -122.413795)",,1598_20171106,11/6/17 0:00,,Reinspection/Followup,1598_20171106_103159,Worker safety hazards,Low Risk
1296,TAQUERIA EL BUEN SABOR,699 VALENCIA St,San Francisco,CA,94112,37.761743,-122.421492,"(37.761743, -122.421492)",14155588745,1296_20180501,5/1/18 0:00,82,Routine - Unscheduled,1296_20180501_103159,Worker safety hazards,Low Risk
6739,Jamie Supermarket,1135 Stockton St,San Francisco,CA,94133,37.796303,-122.408354,"(37.796303, -122.408354)",,6739_20161220,12/20/16 0:00,86,Routine - Unscheduled,6739_20161220_103159,Worker safety hazards,Low Risk
1598,Cafe Bean,800 Sutter St,San Francisco,CA,94109,37.788587,-122.413795,"(37.788587, -122.413795)",,1598_20171027,10/27/17 0:00,85,Routine - Unscheduled,1598_20171027_103159,Worker safety hazards,Low Risk
7489,GAS & SHOP,599 South Van Ness Ave,San Francisco,CA,94110,37.763803,-122.417326,"(37.763803, -122.417326)",14155866835,7489_20170119,1/19/17 0:00,77,Routine - Unscheduled,7489_20170119_103159,Worker safety hazards,Low Risk
62779,SF Third Street Shell,551 03rd St,San Francisco,CA,94107,37.780739,-122.395015,"(37.780739, -122.395015)",,62779_20180614,6/14/18 0:00,84,Routine - Unscheduled,62779_20180614_103159,Worker safety hazards,Low Risk
17762,Patxi's Chicago Pizza,511 Hayes St,San Francisco,CA,94102,37.776593,-122.425017,"(37.776593, -122.425017)",,17762_20161011,10/11/16 0:00,82,Routine - Unscheduled,17762_20161011_103159,Worker safety hazards,Low Risk
2739,ROSE'S CAFE,2298 Union St,San Francisco,CA,94123,37.796927,-122.436974,"(37.796927, -122.436974)",14155955596,2739_20170627,6/27/17 0:00,79,Routine - Unscheduled,2739_20170627_103159,Worker safety hazards,Low Risk
25301,B Restaurant,720 HOWARD St,San Francisco,CA,94103,37.784404,-122.401339,"(37.784404, -122.401339)",,25301_20161221,12/21/16 0:00,81,Routine - Unscheduled,25301_20161221_103159,Worker safety hazards,Low Risk
1296,TAQUERIA EL BUEN SABOR,699 VALENCIA St,San Francisco,CA,94112,37.761743,-122.421492,"(37.761743, -122.421492)",14155588745,1296_20170926,9/26/17 0:00,83,Routine - Unscheduled,1296_20170926_103159,Worker safety hazards,Low Risk
38564,Chili Lemon Garlic,518 Bryant St,San Francisco,CA,94107,37.780914,-122.396389,"(37.780914, -122.396389)",,38564_20170123,1/23/17 0:00,74,Routine - Unscheduled,38564_20170123_103159,Worker safety hazards,Low Risk
4986,SENIORE'S PIZZA,2415 19th Ave,San Francisco,CA,94116,37.742728,-122.475714,"(37.742728, -122.475714)",,4986_20170522,5/22/17 0:00,88,Routine - Unscheduled,4986_20170522_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
3335,The Bell,1900 Polk St,San Francisco,CA,94109,37.794298,-122.421387,"(37.794298, -122.421387)",,3335_20160815,8/15/16 0:00,83,Routine - Unscheduled,3335_20160815_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
2325,THE CITRUS CLUB,1790 HAIGHT St,San Francisco,CA,94117,37.769428,-122.451604,"(37.769428, -122.451604)",14155759656,2325_20170125,1/25/17 0:00,84,Routine - Unscheduled,2325_20170125_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
69195,Center Cafe,205 13th St,San Francisco,CA,94103,37.769751,-122.41832,"(37.769751, -122.41832)",14155863888,69195_20170621,6/21/17 0:00,,Complaint,69195_20170621_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
2995,CAFE ROCCO,1131 FOLSOM St,San Francisco,CA,94103,37.776127,-122.408602,"(37.776127, -122.408602)",,2995_20170117,1/17/17 0:00,,Complaint,2995_20170117_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
62735,China Express Deli,2732 MISSION St,San Francisco,CA,94110,37.7533,-122.41863,"(37.7533, -122.41863)",,62735_20161107,11/7/16 0:00,76,Routine - Unscheduled,62735_20161107_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
2692,TYGER'S,2798 DIAMOND St,San Francisco,CA,94131,37.734579,-122.4339,"(37.734579, -122.4339)",14155234064,2692_20160823,8/23/16 0:00,85,Routine - Unscheduled,2692_20160823_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
18480,Imperial Palace,818 Washington St,San Francisco,CA,94108,37.795138,-122.406863,"(37.795138, -122.406863)",14155959888,18480_20181217,12/17/18 0:00,70,Routine - Unscheduled,18480_20181217_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
1304,RAIN TREE CAFE,654 IRVING St,San Francisco,CA,94122,37.764128,-122.464961,"(37.764128, -122.464961)",,1304_20180131,1/31/18 0:00,79,Routine - Unscheduled,1304_20180131_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
3869,SAFEWAY #739,3350 MISSION St,San Francisco,CA,94110,37.742998,-122.421638,"(37.742998, -122.421638)",14155822866,3869_20180608,6/8/18 0:00,,Complaint,3869_20180608_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
